controller,condition,seed,success,steps,path_length,collisions,tortuosity,odor_detection_percentage,final_distance_to_source
random,left_disabled,133,False,1200,76.47999999999999,100,7.490659305977812,12.333333333333334,4.577231850781203
random,left_disabled,134,False,1200,55.68000000000001,248,14.310247772921574,5.833333333333333,10.484532858718731
random,left_disabled,135,False,1200,79.51999999999998,90,14.34953419043531,16.25,16.783875111002203
random,left_disabled,136,False,1200,65.27999999999999,193,10.51099885630428,4.75,17.91721927970441
random,left_disabled,137,False,1200,80.00000000000006,89,59.28300774523654,26.583333333333332,15.235768887590968
random,left_disabled,138,False,1200,81.43999999999996,86,8.731881908955891,22.333333333333332,4.8151178839668365
random,left_disabled,139,False,1200,80.64000000000001,79,40.01072854039545,32.416666666666664,14.758176053509258
random,left_disabled,140,False,1200,75.84000000000002,115,9.401906592281332,31.25,10.855221008947796
random,left_disabled,141,False,1200,85.59999999999998,54,16.68664128086096,29.083333333333332,11.122136467255368
random,left_disabled,142,False,1200,76.63999999999997,97,13.36789292994575,7.333333333333333,11.694233688686415
random,left_disabled,143,False,1200,57.91999999999999,286,20.04989720763348,4.75,12.918071694512928
random,left_disabled,144,False,1200,89.75999999999992,51,30.909633447687572,29.75,15.103904486836532
random,left_disabled,145,False,1200,87.51999999999998,72,16.750144051628673,36.583333333333336,15.486710458894867
random,left_disabled,146,False,1200,81.60000000000001,112,5.313403642222213,9.416666666666666,2.9587496170012773
random,left_disabled,147,False,1200,76.64000000000001,98,15.294549898895262,52.83333333333333,11.202055165166573
random,left_disabled,148,False,1200,67.51999999999998,157,10.054785066580315,27.333333333333332,14.586199685255892
random,left_disabled,149,False,1200,87.20000000000002,82,47.37052043236744,28.166666666666668,12.32862479265005
moth,left_disabled,100,False,1200,188.6400000000001,0,1047.0390502586233,88.16666666666667,14.085692021380112
moth,left_disabled,101,False,1200,188.64,0,1178.9999999991692,88.66666666666667,14.06261026311749
moth,left_disabled,102,False,1200,188.64000000000001,0,505.5142862257959,87.75,13.976812559343829
moth,left_disabled,103,False,1200,93.43999999999997,424,16.02088771226202,0.16666666666666669,11.35905966151593
moth,left_disabled,104,False,1200,188.64000000000004,0,505.5142862258706,87.91666666666667,13.65503355415137
moth,left_disabled,105,False,1200,156.95999999999992,28,47.48469702316218,0.6666666666666667,16.191561041828145
