time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/n_updates,train/entropy_loss,train/clip_fraction,train/approx_kl,train/value_loss,rollout/ep_len_mean,train/explained_variance,train/clip_range,train/learning_rate,rollout/ep_rew_mean,train/loss,rollout/success_rate,train/policy_gradient_loss,eval/mean_reward,eval/mean_ep_length,eval/success_rate
3293,19,31,63488,300,-1.6335323214530946,0.024609375,0.0058104815,18.072267842292785,530.54,0.23350536823272705,0.2,0.0003,22.8606958,12.062830924987793,0.39,-0.0059156270988751205,,,
3331,19,32,65536,310,-1.5971171140670777,0.0384765625,0.006784793,15.673071908950806,534.3,0.3267975449562073,0.2,0.0003,21.257810279999994,7.2738566398620605,0.36,-0.004450213938253,,,
3366,20,33,67584,320,-1.627568593621254,0.08994140625,0.011666007,1.8644879579544067,532.5,0.4076662063598633,0.2,0.0003,21.26627498,0.6967129707336426,0.36,-0.011219025868922473,,,
3401,20,34,69632,330,-1.5705134123563766,0.047412109375,0.007870728,15.922992885112762,526.4,0.20450323820114136,0.2,0.0003,21.923455290000007,9.286105155944824,0.37,-0.005496485906769521,,,
,,,70000,340,-1.5982990354299544,0.02138671875,0.0044566337,14.089297583699226,,0.344462513923645,0.2,0.0003,,6.67791223526001,,-0.0046889921912224965,11.1327413,553.5,0.2
3255,22,35,71680,,,,,,519.38,,,,23.64102852,,0.4,,,,
3288,22,36,73728,350,-1.5929840624332428,0.047998046875,0.0070580468,16.284931141138077,516.78,0.38121575117111206,0.2,0.0003,24.150774880000004,9.991729736328125,0.41,-0.007337036248645745,,,
3320,22,37,75776,360,-1.5933960750699043,0.02626953125,0.0054695066,14.553691464662553,512.78,0.38988274335861206,0.2,0.0003,25.2020075,5.222013473510742,0.43,-0.004536114510847256,,,
3351,23,38,77824,370,-1.5339925289154053,0.019140625,0.004594269,12.97384540438652,511.07,0.4597192406654358,0.2,0.0003,25.763498100000003,9.020651817321777,0.44,-0.0037793433817569166,,,
3380,23,39,79872,380,-1.5340640246868134,0.03076171875,0.0060785804,12.51241331100464,513.06,0.4394966959953308,0.2,0.0003,25.23015018,4.687514305114746,0.43,-0.005643505719490349,,,
,,,80000,390,-1.5582754477858543,0.056298828125,0.010933187,4.766049072146416,,0.6097686290740967,0.2,0.0003,,1.6840001344680786,,-0.006116956559708342,-2.1995486,600.0,0.0
3245,25,40,81920,,,,,,509.69,,,,26.35607375,,0.45,,,,
3274,25,41,83968,400,-1.5455529659986496,0.03564453125,0.006551088,20.239414823055267,504.51,0.37483155727386475,0.2,0.0003,28.02299399,16.790796279907227,0.48,-0.005701973102986813,,,
3303,26,42,86016,410,-1.5449234634637832,0.022314453125,0.0052759815,17.907818692922593,511.14,0.39386236667633057,0.2,0.0003,27.481277040000005,9.34856128692627,0.47,-0.00466008439543657,,,
3332,26,43,88064,420,-1.5440089955925942,0.016259765625,0.0037191575,8.349499320983886,510.9,0.38866376876831055,0.2,0.0003,27.45414698,2.3635621070861816,0.47,-0.0014068258817133028,,,
,,,90000,430,-1.5154662385582924,0.0412109375,0.006352796,5.763393288850784,,0.5385050773620605,0.2,0.0003,,3.7351040840148926,,-0.003279405302600935,0.10955909999999998,600.0,0.0
3213,28,44,90112,,,,,,513.9,,,,26.912289920000003,,0.46,,,,
3240,28,45,92160,440,-1.5400315836071967,0.05849609375,0.007573871,8.683767327666283,517.73,0.551287829875946,0.2,0.0003,26.35959185,1.1820456981658936,0.45,-0.008723371743690223,,,
3261,28,46,94208,450,-1.4940147340297698,0.042138671875,0.0064115818,7.190903821587563,522.59,0.5597511529922485,0.2,0.0003,25.29899938,1.8791030645370483,0.43,-0.006936783905257471,,,
3286,29,47,96256,460,-1.4252065658569335,0.0498046875,0.0052566053,6.875812031328678,519.2,0.5561127662658691,0.2,0.0003,26.536961100000003,6.813082218170166,0.45,-0.002619952446548268,,,
